GRI 303 Management Approach
Disclosure 303-1: Interactions with water as a shared resource
"Disclosure Element","Required Content / Placeholder"
"a. How the organization interacts with water","[Required — manual input] Describe how and where water is withdrawn, consumed, and discharged, including any water-related impacts the organization has caused, contributed to, or is directly linked to through its business relationships."
"b. Approach used to identify water-related impacts","[Required — manual input] Describe the approach used to identify water-related impacts across the value chain, including scope, timeframe, and tools/methodologies applied (e.g., WRI Aqueduct Water Risk Atlas, WWF Water Risk Filter)."
"c. How water-related impacts are addressed","[Required — manual input] Describe how the organization works with stakeholders — communities, regulators, and value-chain partners — to steward water as a shared resource."
"d. Process for setting water-related goals and targets","[Required — manual input] Describe the process for setting water-related goals and targets, and explain how they relate to public policy and the local context of each water-stressed area."

Notes:
# GRI 303-1 is a management approach disclosure requiring qualitative organizational narrative.
# This section cannot be auto-generated from dataset values and must be completed by the reporting organization.
# Reference: GRI 303: Water and Effluents 2018, Disclosure 303-1.

Disclosure 303-2: Management of water discharge-related impacts
"Disclosure Element","Required Content / Placeholder"
"a. Minimum standards for effluent quality","[Required — manual input] Describe minimum standards set for effluent discharge quality and how they were determined, covering: (i) standards for facilities with no local discharge requirements; (ii) any internally developed water quality standards; (iii) sector-specific standards applied; (iv) whether the receiving waterbody profile was considered."

Notes:
# GRI 303-2 is a management approach disclosure requiring qualitative organizational narrative.
# This section cannot be auto-generated from dataset values and must be completed by the reporting organization.
# Reference: GRI 303: Water and Effluents 2018, Disclosure 303-2.

GRI 303-3 Water Withdrawal
Total water withdrawal from all areas (GRI 303-3-a)
Source,Units,2019,2020,2021,2022,2023,2024,2025
"Surface Water",megaliters,5500.001,7223.001,6585.003,25913.999,202749.004,184167.998,246375.997
"Groundwater",megaliters,5100.005,4992.0,4221.0,4377.0,3393.0,2355.999,4580.003
"Seawater",megaliters,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Produced Water",megaliters,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Third-party Water",megaliters,4099.999,4339.996,4659.999,5991.0,5923.002,5462.999,5244.999

Notes:
# Surface Water, Groundwater, Seawater, and Produced Water are sourced directly from metered withdrawal data.
# Third-party Water reflects water purchased from municipal suppliers (e.g. DJB, MCGM, CMWSSB).
# Per GRI 303 guidance, harvested (collected) rainwater is classified as surface water and is included in the Surface Water withdrawal total.
# Values converted from cubic meters (m³) to megaliters (ML) by dividing by 1,000 (1 ML = 1,000 m³).

Total water withdrawal from areas with water stress (GRI 303-3-b)
Source,Units,2019,2020,2021,2022,2023,2024,2025
"Surface Water",megaliters,1620.002,1728.999,1455.002,1789.001,2082.002,793.001,859.998
"Groundwater",megaliters,899.998,982.002,328.001,445.001,435.001,1166.999,1015.999
"Seawater",megaliters,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Produced Water",megaliters,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Third-party Water",megaliters,1600.0,1696.0,2483.001,2967.001,3117.0,2456.999,2452.0
"Total — all sources (stress areas)",megaliters,4120.0,4407.001,4266.004,5201.003,5634.003,4416.999,4327.997

Notes:
# Stress-area volumes are sourced directly from the dataset's per-source water-stress columns.
